index,carat,depth,table,x,y,z,price,cutne,colorne,clarityne
0,1.21,63.0,57.0,6.73,6.7,4.23,6134,2,4,5
1,0.28,64.0,56.0,4.14,4.17,2.66,532,4,0,7
2,0.42,61.2,58.0,4.86,4.82,2.96,1103,3,2,4
3,0.26,61.1,57.0,4.16,4.12,2.53,600,2,4,1
4,1.1,63.4,57.0,6.52,6.55,4.14,4997,1,3,2
5,0.35,62.2,56.0,4.48,4.52,2.8,583,2,2,2
6,0.31,62.3,54.0,4.37,4.4,2.73,452,2,5,5
7,0.43,60.2,57.0,4.93,4.91,2.96,919,3,4,2
8,0.51,60.4,59.0,5.2,5.17,3.13,956,3,5,3
9,1.22,61.9,55.7,6.81,6.84,4.23,6469,2,5,4
10,0.41,63.2,57.0,4.77,4.73,3.0,947,4,0,2
11,0.33,61.9,59.0,4.41,4.38,2.72,1114,3,3,6
12,0.93,62.5,55.0,6.23,6.29,3.91,3856,2,5,2
13,0.71,61.6,57.0,5.74,5.79,3.55,2175,2,4,4
14,0.47,62.2,53.0,5.0,5.04,3.12,1618,2,3,7
15,1.71,60.6,57.0,7.78,7.71,4.69,9760,3,5,3
16,0.33,60.1,63.0,4.45,4.5,2.69,981,4,1,7
17,1.26,61.7,60.0,6.85,6.9,4.24,6733,4,3,2
18,0.75,60.9,58.0,5.87,5.83,3.56,2631,3,3,2
19,0.76,61.4,57.0,5.89,5.94,3.63,2557,4,4,2
20,0.31,62.4,53.0,4.33,4.35,2.71,791,2,1,7
21,0.7,58.7,60.0,5.8,5.75,3.39,3062,3,2,7
22,0.3,61.6,57.0,4.31,4.32,2.66,814,2,0,7
23,0.28,60.2,56.0,4.3,4.31,2.59,598,2,2,4
24,0.9,62.7,56.0,6.14,6.18,3.86,4770,2,1,5
25,0.51,62.5,56.0,5.06,5.12,3.18,988,2,6,2
26,0.71,61.1,60.0,5.72,5.77,3.51,2384,4,5,5
27,0.57,60.9,56.0,5.36,5.38,3.27,1949,2,4,6
28,0.71,60.5,62.0,5.75,5.79,3.49,2138,4,2,3
29,0.72,63.3,56.0,5.67,5.71,3.6,3183,4,1,2
30,0.36,62.3,57.0,4.55,4.57,2.84,678,2,3,4
31,0.3,61.9,58.0,4.3,4.32,2.67,545,2,4,4
32,0.9,59.3,59.0,6.27,6.3,3.73,3992,4,5,5
33,0.7,59.2,59.0,5.76,5.79,3.42,4198,1,0,6
34,0.38,60.5,62.0,4.74,4.65,2.84,1112,3,1,5
35,0.67,57.2,70.0,5.82,5.75,3.31,1436,0,5,5
36,0.3,61.4,59.0,4.32,4.28,2.64,814,3,1,4
37,2.02,59.8,58.0,8.2,8.16,4.89,17825,3,1,3
38,2.0,61.1,60.0,8.1,8.03,4.93,13986,3,3,3
39,0.33,63.0,57.0,4.41,4.39,2.77,610,2,4,2
40,1.1,61.8,56.0,6.65,6.61,4.1,3745,2,2,0
41,0.56,61.7,56.0,5.25,5.31,3.26,1755,4,1,5
42,0.85,60.7,58.0,6.12,6.08,3.71,2295,3,6,5
43,0.93,63.7,54.0,6.15,6.09,3.9,2438,1,6,2
44,0.53,61.2,56.0,5.2,5.23,3.19,1857,2,0,5
45,0.4,60.9,57.0,4.76,4.8,2.91,1123,4,3,6
46,0.73,61.9,55.0,5.78,5.82,3.59,2588,2,2,3
47,1.14,62.2,58.0,6.7,6.67,4.16,4788,3,5,2
48,1.02,61.4,58.0,6.48,6.45,3.97,5956,3,1,2
49,1.2,62.6,54.3,6.76,6.8,4.25,8687,2,3,4
50,1.02,62.6,57.0,6.4,6.47,4.03,7632,2,2,5
51,1.02,61.4,58.0,6.43,6.46,3.96,10580,3,0,7
52,1.2,63.0,57.0,6.77,6.7,4.24,4596,2,5,3
53,1.0,59.8,65.0,6.56,6.45,3.89,4213,1,1,2
54,1.11,60.9,59.0,6.69,6.64,4.07,4096,3,3,2
55,0.39,60.6,55.0,4.77,4.73,2.88,1092,3,2,4
56,1.07,63.0,57.0,6.55,6.44,4.09,5465,3,4,2
57,1.14,62.5,59.0,6.63,6.66,4.15,4785,4,5,5
58,0.58,61.4,57.1,5.36,5.38,3.3,1392,2,1,3
59,1.5,64.3,57.0,7.2,7.29,4.66,8043,1,3,3
60,0.26,61.4,56.0,4.11,4.14,2.53,545,2,3,7
61,1.01,61.8,62.0,6.28,6.35,3.9,3399,1,5,3
62,0.4,61.1,56.0,4.78,4.75,2.91,1050,2,2,4
63,0.33,62.4,58.0,4.37,4.41,2.74,666,3,2,5
64,1.28,61.7,55.0,7.01,6.98,4.32,11580,2,2,4
65,0.75,62.4,55.0,5.83,5.8,3.63,3456,2,0,5
66,1.7,61.2,57.0,7.73,7.64,4.7,17492,3,3,4
67,1.02,62.8,56.0,6.44,6.39,4.03,6158,2,0,2
68,0.9,61.6,57.0,6.17,6.24,3.82,4001,2,3,2
69,0.83,62.0,59.0,6.0,5.96,3.71,3393,3,2,5
70,0.9,60.3,63.0,6.28,6.21,3.77,3630,4,2,3
71,0.32,60.9,58.0,4.42,4.45,2.7,564,4,3,5
72,1.05,63.1,59.0,6.45,6.49,4.08,7826,1,1,4
73,0.9,62.4,63.0,6.18,6.15,3.85,3997,4,0,2
74,0.71,62.3,57.0,5.66,5.74,3.55,2190,2,1,3
75,0.6,61.5,57.0,5.42,5.45,3.34,3196,2,2,7
76,1.23,61.2,57.0,6.86,6.92,4.22,5665,4,6,7
77,1.01,62.6,57.0,6.14,6.22,3.87,5628,0,0,2
78,0.7,65.8,59.0,5.58,5.48,3.64,2381,0,2,4
79,1.59,62.4,56.0,7.48,7.46,4.66,10106,2,5,2
80,0.35,62.2,58.0,4.45,4.52,2.79,1044,4,3,1
81,0.9,63.6,59.0,6.11,6.06,3.87,4234,1,2,5
82,2.0,70.2,57.0,7.63,7.59,5.34,15351,0,2,3
83,0.71,60.4,62.0,5.72,5.67,3.44,2441,3,1,2
84,0.26,60.8,58.0,4.11,4.18,2.52,679,4,2,6
85,0.53,61.2,56.0,5.22,5.25,3.2,1655,2,2,5
86,0.35,61.2,58.0,4.57,4.55,2.79,630,3,5,5
87,0.3,62.0,60.0,4.25,4.33,2.66,684,3,3,7
88,1.04,60.6,57.0,6.56,6.6,3.99,4703,4,3,3
89,0.23,62.3,55.0,3.93,3.96,2.46,583,4,2,6
90,1.03,61.8,59.0,6.46,6.48,4.0,7328,3,2,4
91,0.3,62.2,57.0,4.26,4.29,2.66,477,2,3,2
92,1.08,63.1,59.0,6.49,6.53,4.11,5096,1,1,2
93,1.53,61.3,59.0,7.42,7.39,4.54,8062,2,5,3
94,1.2,61.3,56.0,6.89,6.84,4.21,10214,2,1,5
95,0.71,60.8,57.0,5.8,5.84,3.54,3360,2,1,2
96,0.41,60.3,59.0,4.79,4.76,2.88,923,3,3,2
97,1.09,62.1,57.0,6.6,6.55,4.08,5098,3,3,5
98,0.7,61.1,61.0,5.68,5.71,3.48,2445,1,2,2
99,0.91,61.5,56.0,6.27,6.22,3.84,4051,3,0,3
100,1.07,60.9,58.0,6.57,6.67,4.03,18114,4,0,1
101,1.52,64.1,59.0,7.11,7.18,4.58,8915,1,4,2
102,0.81,64.3,53.0,5.91,5.97,3.81,2718,1,2,2
103,0.5,62.8,56.0,5.03,5.06,3.17,1250,4,2,2
104,0.35,63.0,55.0,4.48,4.5,2.83,706,4,4,7
105,0.7,60.1,60.0,5.73,5.76,3.45,3017,4,3,4
106,0.34,60.2,58.0,4.48,4.52,2.71,477,3,4,2
107,0.71,60.5,56.0,5.81,5.84,3.53,3527,2,1,2
108,0.31,61.7,55.0,4.39,4.36,2.7,872,2,1,5
109,0.55,61.5,56.0,5.28,5.25,3.24,1881,3,1,5
110,1.05,61.9,56.0,6.56,6.52,4.05,6604,2,3,5
111,0.32,60.9,60.0,4.4,4.43,2.69,461,3,4,2
112,0.3,61.5,58.0,4.29,4.3,2.64,766,2,1,7
113,0.7,61.6,56.1,5.72,5.77,3.53,2306,4,4,3
114,0.9,62.8,57.0,6.15,6.2,3.88,3160,4,4,3
115,0.32,61.8,60.0,4.36,4.41,2.71,786,4,2,7
116,1.12,62.0,55.0,6.63,6.66,4.12,8279,2,0,5
117,0.72,63.3,57.0,5.71,5.67,3.6,2477,4,3,5
118,0.7,62.2,57.0,5.72,5.67,3.54,2542,2,1,2
119,0.3,62.9,57.0,4.29,4.33,2.71,605,4,2,5
120,0.5,59.9,58.0,5.14,5.17,3.09,2016,2,2,7
121,1.5,58.7,57.0,7.48,7.42,4.37,9173,3,0,3
122,0.55,60.6,56.0,5.33,5.36,3.24,2499,4,1,7
123,0.53,63.0,60.0,5.11,5.14,3.23,1127,1,1,3
124,1.0,63.3,61.0,6.29,6.31,3.99,4712,1,2,2
125,0.74,62.4,57.0,5.74,5.8,3.6,2906,4,0,5
126,0.5,60.9,57.0,5.11,5.13,3.12,1563,2,0,2
127,0.34,62.2,58.0,4.48,4.43,2.77,765,3,4,4
128,1.33,61.9,58.0,7.04,6.98,4.34,7302,3,4,2
129,0.58,62.1,58.0,5.35,5.31,3.31,1812,3,1,2
130,0.32,62.0,54.0,4.44,4.43,2.75,876,2,2,4
131,1.0,62.8,59.0,6.34,6.3,3.97,4200,3,1,3
132,0.33,61.0,55.0,4.51,4.47,2.74,1069,3,1,4
133,1.03,62.0,56.0,6.45,6.48,4.01,9245,2,2,7
134,0.72,61.6,58.0,5.78,5.81,3.57,2720,3,3,7
135,0.7,60.6,59.0,5.81,5.74,3.5,2636,3,4,4
136,0.39,62.5,55.0,4.68,4.7,2.93,694,4,3,2
137,0.71,60.2,56.0,5.86,5.83,3.52,2822,2,0,2
138,0.71,60.2,58.0,5.76,5.8,3.48,2519,4,0,3
139,1.53,61.9,57.0,7.39,7.35,4.56,12848,2,4,7
140,1.0,61.1,60.0,6.36,6.43,3.91,6619,4,2,5
141,0.39,61.7,62.0,4.65,4.69,2.88,741,4,3,4
142,0.4,63.2,57.0,4.65,4.71,2.96,786,1,0,5
143,1.01,59.5,57.0,6.61,6.66,3.95,3709,4,2,3
144,1.01,63.6,60.0,6.31,6.36,4.03,6932,1,2,7
145,1.14,62.6,57.0,6.72,6.63,4.18,4788,2,4,3
146,0.51,62.9,57.0,5.11,5.09,3.21,1687,2,2,5
147,1.5,62.2,57.0,7.27,7.33,4.54,10692,2,4,5
148,0.75,60.3,57.0,5.85,5.89,3.54,2726,2,0,3
149,0.31,61.4,56.0,4.36,4.34,2.67,698,2,3,5
150,0.97,62.3,56.0,6.28,6.33,3.93,4078,2,1,3
151,0.9,61.7,57.0,6.17,6.21,3.82,4493,4,2,5
152,0.3,60.4,60.0,4.34,4.3,2.61,1013,3,4,1
153,0.9,62.5,58.0,6.15,6.1,3.83,2948,3,5,3
154,1.0,60.0,62.0,6.53,6.51,3.91,3584,3,4,3
155,0.3,62.2,55.0,4.33,4.29,2.68,709,2,0,2
156,1.02,61.0,56.0,6.53,6.51,3.98,8225,2,1,5
157,0.9,63.6,63.0,6.03,6.07,3.85,3755,1,0,2
158,1.55,59.2,59.0,7.51,7.59,4.47,10707,4,3,2
159,0.68,61.9,55.0,5.63,5.68,3.5,3225,1,3,6
160,0.4,63.3,56.0,4.74,4.68,2.98,882,4,1,2
161,0.51,62.9,56.0,5.08,5.06,3.19,1125,3,4,3
162,2.32,59.0,59.0,8.69,8.64,5.11,14666,3,6,3
163,0.31,61.2,58.0,4.37,4.39,2.68,417,2,4,2
164,1.1,61.4,57.0,6.65,6.64,4.08,6470,2,4,4
165,1.0,62.4,59.0,6.38,6.34,3.97,3405,3,2,0
166,0.72,61.3,59.0,5.74,5.78,3.53,2692,4,0,3
167,0.38,61.6,54.0,4.68,4.71,2.89,710,2,3,2
168,1.22,62.4,57.0,6.78,6.82,4.24,6323,4,4,2
169,0.53,61.4,57.0,5.21,5.18,3.19,2106,2,3,6
170,1.02,62.7,58.0,6.44,6.36,4.01,5506,3,3,5
171,0.33,61.7,59.0,4.43,4.45,2.74,787,4,4,1
172,1.06,61.8,56.0,6.5,6.57,4.05,6060,2,5,4
173,0.3,60.7,58.0,4.37,4.33,2.64,1013,3,2,1
174,0.28,62.4,57.0,4.16,4.2,2.61,487,2,0,5
175,0.31,61.9,55.0,4.39,4.37,2.71,802,2,2,5
176,1.01,61.9,55.0,6.38,6.44,3.97,6666,4,1,5
177,1.53,62.8,55.0,7.4,7.35,4.63,10796,2,5,4
178,1.07,58.9,59.0,6.76,6.71,3.97,4235,3,4,2
179,0.25,61.6,55.0,4.06,4.08,2.51,535,2,2,5
180,0.33,61.9,57.0,4.41,4.44,2.74,666,2,4,7
181,1.25,62.0,59.0,6.9,6.87,4.27,5264,3,6,5
182,0.32,61.1,55.0,4.45,4.48,2.73,814,2,3,6
183,0.55,60.2,56.0,5.33,5.38,3.22,2459,2,0,5
184,1.12,60.7,61.0,6.71,6.64,4.05,3266,3,6,3
185,0.27,62.3,53.0,4.16,4.19,2.6,527,2,3,4
186,0.93,60.3,58.0,6.37,6.31,3.82,3062,3,6,4
187,0.31,62.5,55.0,4.37,4.34,2.72,802,2,4,7
